Price,Close,High,Low,Open,Volume,Daily_Return,MA_5,MA_20,Signal
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,
Date,,,,,,,,,
2024-01-02,183.5621795654297,186.33084291740326,181.83176685644636,185.0552730997862,82488700,,,,Hold
2024-01-03,182.187744140625,183.79950485996184,181.37691491631995,182.15808112880916,58414500,-0.007487574118255513,,,Hold
2024-01-04,179.87393188476562,181.04071720671112,178.85546161628733,180.11123597031312,71983600,-0.012700153167676365,,,Hold
2024-01-05,179.15211486816406,180.71443234786256,178.1534248404595,179.95306152436652,62379700,-0.0040129050887929285,,,Hold
2024-01-08,183.4830780029297,183.52263874374273,179.46852282651062,180.0519155054874,59144500,0.02417478095613168,181.6518096923828,,Hold
2024-01-09,183.0677947998047,183.07767744176536,180.68476543102267,181.8614486084712,42841800,-0.002263332442670074,181.5529327392578,,Hold
2024-01-10,184.10604858398438,184.31368968460146,181.86145160567418,182.28664662503843,46792900,0.005671416894025949,181.93659362792968,,Hold
2024-01-11,183.51275634765625,184.9564217479187,181.56480461990643,184.45212033242825,49128400,-0.0032225570039187135,182.66435852050782,,Hold
2024-01-12,183.8390655517578,184.64989484239166,183.11724039185432,183.97749798089004,40477800,0.0017781281835438367,183.60174865722655,,Hold
2024-01-16,181.57470703125,182.19764543114704,178.9049149905355,180.12115895148446,65603000,-0.012317069354719434,183.22007446289064,,Hold
2024-01-17,180.6353302001953,180.88253205239923,178.28197882705663,179.2411232206481,47317400,-0.005173500463877989,182.73358154296875,,Hold
2024-01-18,186.51870727539062,187.0229935165519,183.75004409317066,184.00712853391946,78005800,0.03257046707681632,183.21611328125,,Hold
2024-01-19,189.41592407226562,189.80155831594578,186.70660172518024,187.21088801676132,68903000,0.015533116432108418,184.39674682617186,,Hold
2024-01-22,191.71983337402344,193.14371820043874,190.1080727596782,190.14763349819026,60133900,0.012163229216561655,185.972900390625,,Hold
2024-01-23,192.9954071044922,193.55903452389106,191.66052626402544,192.83720939883855,42355600,0.006653321714401139,188.25704040527344,,Hold
2024-01-24,192.32301330566406,194.18197579456825,192.16480052192722,193.23271418014866,53631300,-0.0034839886032317358,190.59457702636718,,Hold
2024-01-25,191.9967041015625,194.07320538533628,190.9485708187439,193.0349547434494,54822100,-0.0016966726887902572,191.69017639160157,,Hold
2024-01-26,190.2663116455078,192.58011726192578,189.79168833424328,192.09561130867766,44594000,-0.009012615420415426,191.86025390625,,Hold
2024-01-29,189.58401489257812,190.04875551955823,187.4580852833725,189.86087972294905,47145600,-0.0035860092468754656,191.43309020996094,,Hold
2024-01-30,185.93533325195312,189.65325866018404,185.37172089064353,188.80288370915284,55859400,-0.019245724080125703,190.0210754394531,185.7875,Buy
2024-01-31,182.3360595703125,185.00585134318092,182.28663127585358,184.94651023142666,55467800,-0.019357663864583485,188.0236846923828,185.72619400024413,Buy
2024-02-01,184.76852416992188,184.857513201702,181.7625567551165,181.93065217781273,64885400,0.013340557020600663,186.5780487060547,185.855233001709,Buy
2024-02-02,183.76983642578125,185.2332669548565,177.24370243482153,177.84687547061628,102551700,-0.005405075072322352,185.27875366210938,186.05002822875977,Sell
2024-02-05,185.57937622070312,187.13181116987633,183.75997412159924,186.04411693236617,69668800,0.0098467726266529,184.4778259277344,186.37139129638672,Sell
2024-02-06,187.18121337890625,187.19109601961685,184.67953227102765,184.76852130142626,43490800,0.008631547270091744,184.727001953125,186.55629806518556,Sell
2024-02-07,187.2899932861328,188.91163664571195,186.49894443287428,188.50622203381667,53439000,0.0005811475695820523,185.71778869628906,186.76740798950195,Sell
2024-02-08,186.2122039794922,187.418535043408,185.2530596605407,187.27021997882892,40962000,-0.005754655055137059,186.00652465820312,186.87271575927736,Sell
2024-02-09,186.97454833984375,188.10322646586073,186.13298359451971,186.77652244170517,45155200,0.004093954875457717,186.64746704101563,187.04580535888672,Sell
2024-02-12,185.2914276123047,186.79633688725167,184.93500212895557,186.54881961012742,41781900,-0.009001870802649692,186.58987731933593,187.11842346191406,Sell
2024-02-13,183.20237731933594,184.36077144619387,181.68757282391297,183.92513863049606,56529500,-0.011274403354157192,185.7941101074219,187.19980697631837,Sell
2024-02-14,182.32119750976562,183.68749754312392,180.6281880058035,183.47959151637605,54630500,-0.0048098710424174795,184.80035095214845,187.2841003417969,Sell
2024-02-15,182.0341339111328,182.6578823763882,179.54906551856882,181.72721485910492,65434500,-0.0015744938194443003,183.96473693847656,187.05987167358398,Sell
2024-02-16,180.49949645996094,183.0142804515248,179.86585283584154,181.5984737728991,49752500,-0.008430492777365961,182.6697265625,186.61405029296876,Sell
2024-02-20,179.75694274902344,180.6182980286837,178.2124373755958,179.98465441119404,53665600,-0.004113882451202366,181.56282958984374,186.01590576171876,Sell
2024-02-21,180.50938415527344,181.0737156195715,178.8658660184515,180.13315310757224,41371400,0.004185882307202737,181.02423095703125,185.3916046142578,Sell
2024-02-22,182.53903198242188,183.1231842228548,180.64801151557128,181.65787110291916,52292200,0.011244001726816277,181.0677978515625,184.90240554809571,Sell
2024-02-23,180.70742797851562,183.2023913936763,180.42029946099493,183.17269052734747,45119700,-0.010034040303679381,180.80245666503907,184.33794174194335,Sell
2024-02-26,179.3609161376953,180.9450175834942,178.85597124394113,180.43019254491847,40867400,-0.007451336427523048,180.57474060058593,183.79267196655275,Sell
2024-02-27,180.8163299560547,182.09351248592515,177.77681047698752,179.30152539649055,54318900,0.008114442375183106,180.7866180419922,183.35428771972656,Sell
2024-02-28,179.61834716796875,181.30146173701146,178.34116458472795,180.6975189384851,48953900,-0.006625412585119395,180.60841064453126,183.03843841552734,Sell
2024-02-29,178.9550018310547,180.75693496542868,177.74711623943745,179.46984202762675,136682600,-0.003693082290161298,179.8916046142578,182.86938552856446,Sell
2024-03-01,177.87582397460938,178.7371792855814,175.61846756104012,177.76691576574171,73563100,-0.0060304425436743525,179.32528381347657,182.52475051879884,Sell
2024-03-04,173.36109924316406,175.14321147352493,172.06409607852763,174.4006596751229,81510100,-0.025381328561490002,178.1253204345703,182.00431365966796,Sell
2024-03-05,168.4305419921875,170.33147275577412,167.93550746706842,169.0641855800497,95132400,-0.028440966701882453,175.64816284179688,181.1468719482422,Sell
2024-03-06,167.4404754638672,169.53943215491887,167.00484265804033,169.36121186741923,68587700,-0.005878188816647256,173.21258850097655,180.15983505249022,Sell
2024-03-07,167.32167053222656,169.0344857697736,166.81674075207243,167.47017484778516,71765100,-0.000709535321800181,170.88592224121095,179.16141891479492,Sell
2024-03-08,169.0344696044922,171.97497562938204,167.26225281020422,167.32165453074688,76267000,0.010236564497697387,169.1176513671875,178.30253219604492,Sell
2024-03-11,171.03443908691406,172.6482565736913,170.34139373001014,171.2225546353428,60139500,0.01183172572494473,168.6523193359375,177.50552673339843,Sell
2024-03-12,171.50967407226562,172.30173241116674,169.31171935776177,171.43046672764987,59825400,0.0027785923577068328,169.2681457519531,176.8164390563965,Sell
2024-03-13,169.43052673339844,171.4700666239107,169.06419090034882,171.05423942259554,52488700,-0.012122624278273264,169.66615600585936,176.12784652709962,Sell
2024-03-14,171.2819366455078,172.57892461566286,170.34137411890524,171.1928340614332,72913500,0.010927251114686065,170.4582092285156,175.5758834838867,Sell
2024-03-15,170.9057159423828,170.9057159423828,168.59885322457814,169.47011882986195,121752700,-0.0021964995871318616,170.83245849609375,175.01946258544922,Sell
2024-03-18,171.9947967529297,175.94517770513775,171.7967859641753,173.82643054023092,75604200,0.006372407175158745,171.02453002929687,174.59422760009767,Sell
2024-03-19,174.3313751220703,174.8561105550952,171.31166123855039,172.6086493883763,55215200,0.013585168930994485,171.5888702392578,174.32294921875,Sell
2024-03-20,176.89564514160156,176.89564514160156,173.35119593354977,173.97494430389506,53423100,0.014709171069956284,173.08189392089844,174.14226226806642,Sell
2024-03-21,169.66812133789062,175.72735394947048,169.14338597139206,175.29172116809335,106181300,-0.04085755643065969,172.759130859375,173.49871673583985,Sell
2024-03-22,170.569091796875,171.33144918231721,168.37113733503185,170.05425166968308,71160100,0.0053101929335923614,172.69180603027343,172.9917999267578,Sell
2024-03-25,169.15330505371094,170.2324767040703,167.76719930445816,168.87608692531137,54288300,-0.008300371000685591,172.12350769042968,172.4814193725586,Sell
2024-03-26,168.02462768554688,169.71763732680742,167.8959138727621,168.31174106723407,57388400,-0.006672511470028231,170.862158203125,171.8418342590332,Sell
2024-03-27,171.58888244628906,171.87601096065072,168.42066417893392,168.7176879462108,60273300,0.02121269250727087,169.8008056640625,171.44036102294922,Sell
2024-03-28,169.77703857421875,170.51959037094832,168.81667037520143,170.0443614510728,65672700,-0.010559214829302555,169.8225891113281,170.98146286010743,Sell
2024-04-01,168.34144592285156,169.54933141950085,167.79690490268092,169.48992969134684,46240500,-0.008455752694376373,169.37705993652344,170.50474395751954,Sell
2024-04-02,167.1632537841797,167.65828830624176,166.55931106297376,167.40087579338118,49329500,-0.0069988239213046866,168.9790496826172,170.19485168457032,Sell
2024-04-03,167.96522521972656,168.98499523543435,166.9058590852198,167.11376514661308,47691700,0.004797534251051783,168.96716918945313,170.17158584594728,Sell
2024-04-04,167.14346313476562,170.21266810452119,167.14346313476562,168.59885072968464,53704400,-0.004892453684302467,168.07808532714844,170.1567352294922,Sell
2024-04-05,167.89590454101562,168.69785802201392,167.27215623034843,167.90579979250484,42104800,0.00450176986965567,167.7018585205078,170.18544692993163,Sell
2024-04-08,166.77713012695312,167.51968192191484,166.5692240844266,167.3513719945941,37425500,-0.0066635003225418155,167.3889953613281,170.07257995605468,Sell
